,date,open,high,low,close,adjcp,volume
0,1993-10-28,6.5,6.8,6.2,6.69,6.69,"19,046,800"
1,1993-10-29,6.78,6.78,6.3,6.45,6.45,"6,678,800"
2,1993-11-01,6.37,6.48,6.32,6.35,6.35,"2,605,600"
3,1993-11-02,6.36,6.4,6.15,6.18,6.18,"1,816,100"
4,1993-11-03,6.2,6.2,6.05,6.07,6.07,"2,001,700"
5,1993-11-04,6.05,6.1,5.84,5.96,5.96,"1,811,900"
6,1993-11-05,6,6.29,6,6.24,6.24,"2,684,700"
7,1993-11-08,6.3,6.43,6.18,6.25,6.25,"3,627,800"
8,1993-11-09,6.31,6.35,6.1,6.16,6.16,"1,906,300"
9,1993-11-10,6.2,6.2,4.41,6,6,"2,710,400"
10,1993-11-11,6,6.15,5.9,6.01,6.01,"1,781,000"
11,1993-11-12,6.04,6.12,6,6,6,"3,130,800"
12,1993-11-15,6.1,6.37,6.1,6.3,6.3,"4,777,500"
13,1993-11-16,6.37,6.38,6.1,6.15,6.15,"2,114,200"
14,1993-11-17,6.15,6.2,6.05,6.08,6.08,"1,789,000"
15,1993-11-18,6.1,6.2,6.09,6.13,6.13,"2,063,000"
16,1993-11-19,6.15,6.2,6.12,6.15,6.15,"2,317,700"
17,1993-11-22,6.28,6.6,6.2,6.36,6.36,"5,262,400"
18,1993-11-23,6.44,6.5,6.22,6.3,6.3,"3,262,700"
19,1993-11-24,6.27,6.38,6.1,6.17,6.17,"1,751,600"
20,1993-11-25,6.24,6.5,6.21,6.28,6.28,"3,729,200"
21,1993-11-26,6.45,6.45,6.2,6.22,6.22,"3,363,700"
22,1993-11-29,6.31,6.4,6.2,6.3,6.3,"2,288,700"
23,1993-11-30,6.42,6.87,6.33,6.69,6.69,"12,590,000"
24,1993-12-01,6.8,6.8,6.4,6.43,6.43,"3,903,100"
25,1993-12-02,6.43,6.45,6.32,6.36,6.36,"1,536,300"
26,1993-12-03,6.34,6.45,6.3,6.34,6.34,"1,240,600"
27,1993-12-06,6.35,6.63,6.33,6.4,6.4,"3,062,300"
28,1993-12-07,6.5,6.55,6.2,6.4,6.4,"2,545,400"
29,1993-12-08,6.45,6.45,6.2,6.24,6.24,"1,572,300"
30,1993-12-09,6.3,6.34,6.1,6.14,6.14,"1,355,500"
31,1993-12-10,6.15,6.4,6.1,6.22,6.22,"1,938,500"
32,1993-12-13,6.4,6.54,6.2,6.22,6.22,"3,285,200"
33,1993-12-14,6.31,6.39,6.08,6.16,6.16,"1,931,700"
34,1993-12-15,6.16,6.44,6.05,6.4,6.4,"3,208,500"
35,1993-12-16,6.4,6.65,6.2,6.3,6.3,"10,343,200"
36,1993-12-17,6.27,6.75,6.25,6.55,6.55,"7,384,200"
37,1993-12-20,6.22,6.38,6,6.2,6.2,"4,599,400"
38,1993-12-21,6.19,7.5,6.15,7.5,7.5,"4,248,700"
39,1993-12-22,6.9,7.48,6.6,7.2,7.2,"20,567,100"
40,1993-12-24,7.3,7.7,6.15,6.86,6.86,"27,654,400"
41,1993-12-27,7.17,8,7.17,7.65,7.65,"29,201,600"
42,1993-12-28,7.65,7.98,7.48,7.97,7.97,"17,208,100"
43,1993-12-29,7.9,7.9,7.42,7.6,7.6,"16,098,900"
44,1993-12-30,7.55,7.58,7.3,7.3,7.3,"6,698,800"
45,1993-12-31,7.32,7.32,6.84,6.98,6.98,"6,112,900"
46,1994-01-03,7.01,7.08,6.8,7.03,7.03,"2,082,900"
47,1994-01-04,7,7.05,6.7,6.7,6.7,"2,329,900"
48,1994-01-05,6.7,6.95,6.52,6.9,6.9,"2,218,900"
49,1994-01-06,6.97,7.13,6.94,7.13,7.13,"3,363,800"
50,1994-01-07,7.2,7.3,7.05,7.3,7.3,"4,491,800"
51,1994-01-10,7.58,7.6,7.33,7.5,7.5,"6,382,200"
52,1994-01-11,7.5,7.5,7.15,7.24,7.24,"3,310,500"
53,1994-01-12,7.27,7.27,7.08,7.25,7.25,"3,030,100"
54,1994-01-13,7.2,7.54,7.18,7.48,7.48,"5,806,100"
55,1994-01-14,7.5,7.5,7,7.02,7.02,"10,018,600"
56,1994-01-17,7.15,7.24,7.1,7.21,7.21,"2,441,100"
57,1994-01-18,7.18,7.2,7,7.02,7.02,"1,624,400"
58,1994-01-19,7.03,7.14,6.63,6.81,6.81,"6,656,800"
59,1994-01-20,6.75,6.75,6.5,6.64,6.64,"2,982,800"
60,1994-01-21,6.64,6.78,6.55,6.69,6.69,"2,616,000"
61,1994-01-24,6.76,6.9,6.69,6.85,6.85,"3,351,800"
62,1994-01-25,6.85,6.98,6.48,6.58,6.58,"8,090,300"
63,1994-01-26,6.7,6.7,6.5,6.7,6.7,"42,219,100"
64,1994-01-27,6.75,6.75,6.56,6.58,6.58,"4,341,300"
65,1994-01-28,6.6,6.6,6.31,6.33,6.33,"6,287,100"
66,1994-01-31,6.2,6.23,6.01,6.1,6.1,"3,673,800"
67,1994-02-01,6,6.15,5.91,6.02,6.02,"2,533,400"
68,1994-02-02,5.98,6.25,5.98,6.24,6.24,"2,653,000"
69,1994-02-03,6.27,6.42,6.21,6.29,6.29,"3,564,600"
70,1994-02-04,6.3,6.42,6.26,6.39,6.39,"2,533,000"
71,1994-02-14,6.49,6.56,6.12,6.19,6.19,"2,381,700"
72,1994-02-15,6.11,6.19,6.05,6.11,6.11,"1,140,300"
73,1994-02-16,6.16,6.25,6.12,6.15,6.15,"827,400"
74,1994-02-17,6.11,6.18,6.05,6.1,6.1,"802,900"
75,1994-02-18,6.18,6.18,6.09,6.12,6.12,"479,800"
76,1994-02-21,6.1,6.1,6,6.02,6.02,"945,900"
77,1994-02-22,6,6.25,5.99,6.09,6.09,"1,047,600"
78,1994-02-23,6.1,6.15,6.02,6.03,6.03,"666,300"
79,1994-02-24,6.02,6.08,6.02,6.07,6.07,"1,138,000"
80,1994-02-25,6.12,6.17,6.04,6.1,6.1,"2,030,500"
81,1994-02-28,6.14,6.3,5.68,6,6,"5,755,800"
82,1994-03-01,6.02,6.1,5.9,5.95,5.95,"1,840,200"
83,1994-03-02,5.95,6,5.7,5.78,5.78,"1,817,500"
84,1994-03-03,5.75,5.77,5.58,5.61,5.61,"1,761,000"
85,1994-03-04,5.59,5.8,5.48,5.56,5.56,"2,326,200"
86,1994-03-07,5.56,5.65,5.5,5.62,5.62,"378,900"
87,1994-03-08,5.64,5.66,5.51,5.58,5.58,"1,572,200"
88,1994-03-09,5.57,5.68,5.55,5.56,5.56,"2,185,900"
89,1994-03-10,5.58,5.62,5.03,5.18,5.18,"2,438,800"
90,1994-03-11,5.14,5.29,4.91,5.16,5.16,"1,818,600"
91,1994-03-14,5.78,5.88,5.3,5.88,5.88,"9,303,700"
92,1994-03-15,6.01,6.35,5.6,5.84,5.84,"10,724,100"
93,1994-03-16,5.77,5.8,5.6,5.77,5.77,"2,844,400"
94,1994-03-17,5.95,5.99,5.55,5.61,5.61,"2,739,000"
95,1994-03-18,5.6,5.6,5.32,5.43,5.43,"1,723,800"
96,1994-03-21,5.35,5.39,5.12,5.23,5.23,"1,413,400"
97,1994-03-22,5.15,5.28,5.06,5.23,5.23,"1,219,100"
98,1994-03-23,5.23,5.37,5.15,5.18,5.18,"1,869,000"
99,1994-03-24,5.16,5.3,5.1,5.14,5.14,"886,000"
100,1994-03-25,5.18,5.19,5.11,5.15,5.15,"965,800"
101,1994-03-28,5.04,5.1,4.94,5,5,"1,210,400"
102,1994-03-29,5,5.05,4.98,5.03,5.03,"1,324,500"
103,1994-03-30,5.05,5.1,4.97,4.98,4.98,"1,002,600"
104,1994-03-31,5,5.02,4.88,4.9,4.9,"1,596,600"
105,1994-04-01,4.9,4.95,4.65,4.7,4.7,"1,744,800"
106,1994-04-04,4.75,4.75,4.6,4.63,4.63,"1,056,700"
107,1994-04-05,4.6,4.64,4.49,4.5,4.5,"933,400"
108,1994-04-06,4.5,4.5,4.5,4.5,4.5,0
109,1994-04-07,4,4.27,3.94,4.05,4.05,"5,429,300"
110,1994-04-08,4.02,4.14,4.02,4.08,4.08,"1,547,500"
111,1994-04-11,4.05,4.09,3.8,3.82,3.82,"1,057,400"
112,1994-04-12,3.8,3.8,3.62,3.72,3.72,"1,086,000"
113,1994-04-13,3.75,3.8,3.7,3.73,3.73,"1,013,200"
114,1994-04-14,3.65,3.7,3.5,3.51,3.51,"902,800"
115,1994-04-15,3.45,3.68,3.05,3.48,3.48,"1,873,200"
116,1994-04-18,3.48,3.48,3.3,3.34,3.34,"1,120,200"
117,1994-04-19,3.3,3.33,3.12,3.14,3.14,"659,000"
118,1994-04-20,3.08,3.14,2.99,3,3,"1,520,200"
119,1994-04-21,3,3.37,2.98,3.28,3.28,"1,726,200"
120,1994-04-22,3.28,3.47,3.1,3.12,3.12,"2,541,800"
121,1994-04-25,3.15,3.18,3.08,3.11,3.11,"746,100"
122,1994-04-26,3.11,3.24,3.11,3.2,3.2,"567,300"
123,1994-04-27,3.25,3.34,3.2,3.29,3.29,"1,226,500"
124,1994-04-28,3.35,3.79,3.32,3.54,3.54,"9,858,700"
125,1994-04-29,3.55,3.95,3.51,3.61,3.61,"9,398,100"
126,1994-05-03,3.68,3.75,3.55,3.63,3.63,"1,515,200"
127,1994-05-04,3.7,3.72,3.55,3.6,3.6,"1,597,400"
128,1994-05-05,3.5,3.57,3.3,3.37,3.37,"1,330,200"
129,1994-05-06,3.3,3.32,3.2,3.3,3.3,"791,200"
130,1994-05-09,3.3,3.35,3.25,3.32,3.32,"519,100"
131,1994-05-10,3.35,3.44,3.34,3.42,3.42,"553,600"
132,1994-05-11,3.48,3.5,3.35,3.35,3.35,"1,139,600"
133,1994-05-12,3.36,3.4,3.26,3.26,3.26,"626,100"
134,1994-05-13,3.25,3.31,3.25,3.31,3.31,"636,900"
135,1994-05-16,3.42,3.45,3.32,3.35,3.35,"484,400"
136,1994-05-17,3.35,3.35,3.35,3.35,3.35,0
137,1994-05-18,3.43,3.44,3.33,3.34,3.34,"438,000"
