,date,account_value
0,2020-10-01,1000000.0
1,2020-10-02,999055.3339338969
2,2020-10-05,1004119.0406711102
3,2020-10-06,997896.9191057645
4,2020-10-07,1007396.2952578833
5,2020-10-08,1015432.639734934
6,2020-10-09,1022629.3038880863
7,2020-10-12,1035712.6659610005
8,2020-10-13,1031312.8896330968
9,2020-10-14,1026500.0884242269
10,2020-10-15,1023782.9526252766
11,2020-10-16,1022027.4810562154
12,2020-10-19,1007660.9804115315
13,2020-10-20,1011254.7868945714
14,2020-10-21,1006352.8735043126
15,2020-10-22,1014382.0511629658
16,2020-10-23,1014850.6897013264
17,2020-10-26,992734.1976587849
18,2020-10-27,984353.1135487767
19,2020-10-28,944437.7899041387
20,2020-10-29,959574.4683003636
21,2020-10-30,950086.0444550725
22,2020-11-02,962237.9596570302
23,2020-11-03,981277.493745165
24,2020-11-04,993180.5110162068
25,2020-11-05,1015700.640315731
26,2020-11-06,1012520.9868466454
27,2020-11-09,1054394.8903691368
28,2020-11-10,1053340.5092325707
29,2020-11-11,1053065.4504538386
30,2020-11-12,1048810.4637213442
31,2020-11-13,1055391.9670433355
32,2020-11-16,1066078.3377372974
33,2020-11-17,1062226.366265465
34,2020-11-18,1051324.1060261806
35,2020-11-19,1053729.1050978513
36,2020-11-20,1047864.861853146
37,2020-11-23,1064741.2080618327
38,2020-11-24,1089598.3721489985
39,2020-11-25,1083790.266920422
40,2020-11-27,1080471.0059399533
41,2020-11-30,1071655.2095318646
42,2020-12-01,1080983.6718352435
43,2020-12-02,1091221.9525015948
44,2020-12-03,1089014.1480200884
45,2020-12-04,1105158.5348265765
46,2020-12-07,1100814.9760192647
47,2020-12-08,1106488.2009504475
48,2020-12-09,1103658.131999203
49,2020-12-10,1103352.6304819302
50,2020-12-11,1114740.157533871
51,2020-12-14,1102655.3494359325
52,2020-12-15,1120830.9438498614
53,2020-12-16,1121732.5183661578
54,2020-12-17,1127315.8593695757
55,2020-12-18,1121259.543748852
56,2020-12-21,1133805.4822093928
57,2020-12-22,1126237.932390923
58,2020-12-23,1130606.5600802845
59,2020-12-24,1135237.9589068836
60,2020-12-28,1148432.048353905
61,2020-12-29,1144532.0261561817
62,2020-12-30,1150497.2750842518
63,2020-12-31,1155019.583422417
